id,codigo,nombre,cantonId
190,4130,URBINA,35
191,6880,EL CARMEN,36
192,6895,EL TRIUNFO,36
193,1500,GUASAGANDA,36
194,6535,LA MANA,36
195,2965,PUCAYACO,36
196,2620,11 DE NOVIEMBRE,37
197,35,ALAQUEZ,37
198,315,BELISARIO QUEVEDO,37
199,5310,ELOY ALFARO / SAN FELIPE,37
200,1485,GUAYTACAMA,37
201,5465,IGNACIO FLORES,37
202,1905,JOSEGUANGO BAJO,37
203,5500,JUAN MONTALVO,37
204,5555,LA MATRIZ,37
205,2480,MULALO,37
206,2920,POALO,37
207,5940,SAN BUENAVENTURA,37
208,3530,SAN JUAN DE PASTOCALLE,37
209,3965,TANICUCHI,37
210,4035,TOACAZO,37
211,5305,EL CORAZON,38
212,2460,MORASPUNGO,38
213,2890,PINLLOPATA,38
214,3155,RAMON CAMPAÑA,38
215,125,ANGAMARCA,39
216,1430,GUANGAJE,39
217,2150,LA VICTORIA,39
218,2865,PILALO,39
219,5820,PUJILI,39
220,4015,TINGO,39
221,4365,ZUMBAHUA,39
222,135,ANTONIO J. HOLGUIN,40
223,745,CUSUBAMBA,40
224,2475,MULALILLO,40
225,2490,MULLIQUINDIL,40
226,2760,PANZALEO,40
227,6000,SAN MIGUEL DE SALCEDO,40
228,465,CANCHAGUA,41
229,830,CHANTILIN,41
230,990,COCHAPAMBA,41
231,6070,SAQUISILI,41
232,960,CHUGCHILAN,42
233,1735,ISINLIVI,42
234,2115,LAS PAMPAS,42
235,815,PALO QUEMADO,42
236,6450,SIGCHOS,42
237,20,ACHUPALLAS,43
238,5010,ALAUSI,43
239,1465,GUASUNTOS,43
240,1660,HUIGRA,43
241,2485,MULTITUD,43
242,2905,PISTISHI,43
243,3025,PUMALLACTA,43
244,3820,SEVILLA,43
245,3845,SIBAMBE,43
246,4030,TIXAN,43
247,5475,CHAMBO,44
248,515,CAPZOL,45
249,5255,CHUNCHI,45
250,615,COMPUD,45
251,1370,GONZOL,45
252,2260,LLAGOS,45
253,5145,CAJABAMBA,46
254,500,CANI,46
255,610,COLUMBE,46
256,1865,JUAN DE VELASCO / PONGOR,46
257,4430,SANTIAGO DE QUITO,46
258,6080,SICALPA,46
259,6420,CUMANDA,47
260,555,CEBADAS,48
261,5430,GUAMOTE,48
262,2730,PALMIRA,48
263,5315,EL ROSARIO,49
264,1415,GUANANDO,49
265,1705,ILAPO,49
266,5550,LA MATRIZ,49
267,2080,LA PROVIDENCIA,49
268,3295,SAN ANDRES,49
269,3425,SAN GERARDO / PAQUICAHUAN,49
270,3450,SAN ISIDRO DE PATULU,49
271,45,SAN JOSE DEL CHAZO,49
272,40,SANTA FE DE GALAN,49
273,410,VALPARAISO,49
274,6540,PALLATANGA,50
275,1325,BILBAO,51
276,1110,EL ALTAR,51
277,925,LA CANDELARIA,51
278,2400,MATUS,51
279,5740,PENIPE,51
280,2975,PUELA,51
281,3335,SAN ANTONIO DE BAYUSHIG,51
282,420,CACHA,52
283,445,CALPI,52
284,705,CUBIJIES,52
285,1280,FLORES,52
286,2160,LICAN,52
287,2165,LICTO,52
288,5590,LIZARZABURU,52
289,5630,MALDONADO,52
290,3035,PUNGALA,52
291,3040,PUNIN,52
292,3095,QUIMIAG,52
293,3515,SAN JUAN,52
294,3560,SAN LUIS,52
295,6220,VELASCO,52
296,6230,VELOZ,52
297,6290,YARUQUIES,52
298,5040,ARENILLAS,53
299,1695,CARCABON,53
300,805,CHACRAS,53
301,4650,LA CUCA,53
302,2715,PALMALES,53
303,225,AYAPAMBA,54
304,4480,CORDONCILLO,54
305,4535,MILAGRO,54
306,5745,PACCHA,54
307,4530,SAN JOSE,54
308,375,SAN JUAN DE CERRO AZUL,54
309,6590,BALSAS,55
310,1975,BELLAMARIA,55
311,5715,CHILLA,56
312,300,BARBONES,57
313,5340,EL GUABO,57
314,245,LA IBERIA,57
315,2050,RIO BONITO,57
316,4000,TENDALES,57
317,6815,ECUADOR,58
318,6810,EL PARAISO,58
319,6800,HUALTACO,58
320,6805,MILTON REYES,58
321,6820,UNION LOJANA,58
322,1080,EL PARAISO,59
323,1100,LA LIBERTAD,59
324,6335,LA VICTORIA/LAS LAJAS,59
325,6950,PLATANILLOS,59
326,1075,SAN ISIDRO,59
327,6490,9 DE MAYO,60
328,6795,EL CAMBIO,60
329,255,EL RETIRO,60
330,7510,JAMBELI,60
331,7505,JUBONES,60
332,5565,LA PROVIDENCIA,60
333,5625,MACHALA,60
334,5805,PUERTO BOLIVAR,60
335,160,EL INGENIO,61
336,6570,MARCABELI,61
337,6370,BOLIVAR,62
338,390,BUENAVISTA,62
339,775,CAÑAQUEMADA,62
340,4495,CASACAY,62
341,2075,LA PEAÑA,62
342,6365,LOMA DE FRANCO,62
343,5770,OCHOA LEON/MATRIZ,62
344,1225,PROGRESO,62
345,6375,TRES CERRITOS,62
346,4160,UZHCURRUMI,62
347,505,CAPIRO,63
348,2230,LA BOCANA,63
349,6680,LA SUSAYA,63
350,2465,MOROMORO,63
351,2850,PIEDRAS,63
352,5790,PIÑAS,63
353,6675,PIÑAS GRANDE,63
354,3650,SAN ROQUE,63
355,1385,SARACAY,63
356,740,CURTINCAPAC,64
357,4520,MORALES,64
358,5850,PORTOVELO,64
359,3275,SALATI,64
360,6900,BALNEARIO JAMBELI,65
361,1665,BELLAMARIA,65
362,325,BELLAVISTA,65
363,1815,JAMBELI,65
364,6985,JUMON,65
365,2005,LA AVANZADA,65
366,6990,NUEVO SANTA ROSA,65
367,6670,PUERTO JELI,65
368,3330,SAN ANTONIO,65
369,6060,SANTA ROSA,65
370,4525,TORATA,65
371,4215,VICTORIA,65
372,5,ABANIN,66
373,4445,ARCAPAMBA,66
374,1420,GUANAZAN,66
375,1425,GUIZHAGUIÑA,66
376,1655,HUERTAS,66
377,2350,MALVAS,66
378,4450,MULUNCAY GRANDE,66
379,1750,SALVIAS,66
380,1700,SINSAO,66
381,6310,ZARUMA,66
382,6380,ATACAMES,67
383,2130,LA UNION,67
384,3880,SUA/BOCANA,67
385,4055,TONCHIGUE,67
386,1615,TONSUPA,67
387,120,ANCHAYACU,68
388,200,ATAHUALPA/CAMARONES,68
389,370,BORBON,68
390,1510,COLON ELOY DE MARIA,68
391,2125,LA TOLA,68
392,2225,LUIS VARGAS TORRES,68
393,2335,MALDONADO,68
394,2670,PAMPANAL DE BOLIVAR,68
395,3405,SAN FRANCISCO DE ONZOLE,68
396,1505,SAN JOSE DE CAYAPAS,68
397,4595,SANTA LUCIA DE LAS PEÑAS,68
398,4465,SANTO DOMINGO DE ONZOLE,68
399,3805,SELVA ALEGRE,68
400,4170,TELEMBI,68
401,1515,TIMBIRE,68
402,6205,VALDEZ/LIMONES/,68
403,5210,5 DE AGOSTO,69
404,5205,BARTOLOME RUIZ,69
405,450,CAMARONES,69
406,895,CHINCA,69
407,655,CRNL.CARLOS CONCHA TORRES,69
408,5335,ESMERALDAS,69
409,5600,LUIS TELLO / LAS PALMAS /,69
410,2320,MAJUA,69
411,3570,SAN MATEO,69
412,6905,SIMON PLATA TORRES,69
413,3930,TABIAZO,69
414,3940,TACHINA,69
415,4240,VUELTA LARGA,69
416,355,BOLIVAR,70
417,1010,DAULE,70
418,1305,GALERA,70
419,5670,MUISNE,70
420,3125,QUINGUE,70
421,3280,SALIMA,70
422,3390,SAN FRANCISCO,70
423,3430,SAN GREGORIO,70
424,3470,SAN JOSE DE CHAMANGA,70
425,980,CHURA,71
426,700,CUBE / CHANCAMA,71
427,1530,LA UNION,71
428,2345,MALIMPIA / GUAYLLABAMBA,71
429,5895,ROSA ZARATE,71
430,4230,VICHE,71
431,930,CHONTADURO,72
432,965,CHUMUNDE,72
433,2035,LAGARTO,72
434,2445,MONTALVO / HORQUETA,72
435,6720,RIO VERDE,72
436,3215,ROCAFUERTE,72
437,570,5 DE JUNIO/HUIMBI,73
438,70,ALTO TAMBO/GUADAL,73
439,110,ANCON/PALMA REAL,73
440,435,CALDERON,73
441,535,CARONDELET,73
442,620,CONCEPCION,73
443,2395,MATAJE,73
444,3455,SAN JAVIER DE CACHABI,73
445,6130,SAN LORENZO,73
446,3725,SANTA RITA,73
447,3955,TAMBILLO,73
448,4075,TULULBI /RICAURTE,73
449,4125,URBINA,73
450,5355,FEBRES CORDERO,74
451,6265,XIMENA,74
452,6405,PASCUALES,75
453,6150,TARQUI,75
454,7515,DIVINO NIÑO,76
455,7455,EL RECREO,76
456,6525,ELOY ALFARO /DURAN,76
457,5695,9 DE OCTUBRE,77
458,5055,AYACUCHO,77
459,5125,BOLIVAR/SAGRARIO,77
460,5170,CARBO/CONCEPCION,77
461,5380,GARCIA MORENO,77
462,1870,JUAN GOMEZ RENDON,77
463,5585,LETAMENDI,77
464,2470,MORRO,77
465,5720,OLMEDO/SAN ALEJO,77
466,2940,POSORJA,77
467,3030,PUNA,77
468,5880,ROCA,77
469,5890,ROCAFUERTE,77
470,6095,SUCRE,77
471,6150,TARQUI,77
472,4120,TENGUEL,77
473,6185,URDANETA,77
474,6255,GRAL.VILLAMIL / PLAYAS,78
475,7445,LA PUNTILLA(SATELITE),79
476,5925,SAMBORONDON,79
477,3975,TARIFA,79
478,6545,A.BAQUERIZO M /JUJAN,80
479,5470,BALAO,81
480,5100,BALZAR,82
481,5365,COLIMES,83
482,1435,SAN JACINTO,83
483,6410,CRNL MARCELINO MARIDUENAS,84
484,5275,DAULE,85
485,4500,EL LAUREL,85
486,1855,JUAN BAUTISTA AGUIRRE,85
487,6850,LA AURORA,85
488,2105,LAS LOJAS,85
489,260,LIMONAL,85
490,7425,MAGRO,85
491,1640,EL ROSARIO,86
492,1470,GUAYAS / PUERTO NUEVO,86
493,6225,VELASCO IBARRA,86
494,5345,EL TRIUNFO,87
495,6620,GRAL.ELIZALDE /BUCAY,88
