id,codigo,nombre,parroquiaId
207,1,ECHEANDIA,99
208,2,SABANETILLAS,99
209,1,ANGEL POLIVIO CHAVEZ,100
210,2,GUACHANA,100
211,3,SAN JUAN DE LLULLUNDONGO,100
212,89,VOTO EN CASA,100
213,3,EL PORVENIR,101
214,1,FACUNDO VELA,101
215,61,CPL BOLIVAR N.  1,102
216,1,GABRIEL I VEINTIMILLA,102
217,2,INTI CHURI - CASAICHE,102
218,89,VOTO EN CASA,102
219,4,CUATRO ESQUINAS,103
220,1,GUANUJO,103
221,6,PACHAKUTIK,103
222,89,VOTO EN CASA,103
223,1,JULIO MORENO,104
224,2,RODEOPAMBA,104
225,3,CHAZOJUAN,105
226,4,GRAMALOTE,105
227,2,LA PALMA,105
228,1,SALINAS,105
229,0,SIN ZONA,106
230,3,JILIMBÃ,107
231,2,SAN FERNANDO,107
232,1,SAN LUIS DE PAMBIL,107
233,2,GRADAS,108
234,1,SAN SIMON,108
235,0,SIN ZONA,109
236,4,INGAPIRCA,110
237,2,MINDINA,110
238,3,SANTA TERESA,110
239,1,SIMIATUG,110
240,5,TALAHUA,110
241,0,SIN ZONA,111
242,2,JERUSALEN,112
243,1,LAS NAVES,112
244,0,SIN ZONA,113
245,1,BILOVAN,114
246,2,LAS GUARDIAS,114
247,3,MATAPALO,114
248,0,SIN ZONA,115
249,2,QUISACOTO,116
250,1,SAN MIGUEL,116
251,2,GUAMALÃN,117
252,1,SAN PABLO DE ATENAS,117
253,0,SIN ZONA,118
254,1,SANTIAGO,119
255,2,TOTORAS,119
256,0,SIN ZONA,120
257,1,AZOGUES,121
258,4,CIUDADELA DEL CHOFER,121
259,61,CPL CAÃ‘AR N.  2,121
260,3,FERROVIARIA,121
261,2,LA PLAYA,121
262,5,UCHUPUCUN,121
263,89,VOTO EN CASA,121
264,0,SIN ZONA,122
265,0,SIN ZONA,123
266,3,AGUILAN,124
267,1,GUAPAN,124
268,2,ZHINDILIG,124
269,2,AYANCAY,125
270,1,JAVIER LOYOLA / CHUQUIPATA,125
271,0,SIN ZONA,126
272,1,PINDILIG,127
273,2,SHAL,127
274,0,SIN ZONA,128
275,0,SIN ZONA,129
276,0,SIN ZONA,130
277,0,SIN ZONA,131
278,0,SIN ZONA,132
279,0,SIN ZONA,133
280,0,SIN ZONA,134
281,0,SIN ZONA,135
282,0,SIN ZONA,136
283,1,CAÃ‘AR,137
284,61,CRS MASCULINO CAÃ‘AR N.  1,137
285,3,NAR,137
286,2,QUILLOAC,137
287,1,CHONTAMARCA,138
288,2,CIMIENTOS,138
289,0,SIN ZONA,139
290,3,CHIL CHIL,140
291,1,DUCUR,140
292,2,JAVIN,140
293,0,SIN ZONA,141
294,3,GER,142
295,1,GUALLETURO,142
296,2,PURUBIN,142
297,4,SHUYA,142
298,0,SIN ZONA,143
299,1,INGAPIRCA,144
300,2,SISID,144
301,2,CHARCAY,145
302,1,JUNCAL,145
303,3,CARGUA,146
304,4,MANTA REAL,146
305,1,SAN ANTONIO,146
306,2,ZHUCAY,146
307,0,SIN ZONA,147
308,0,SIN ZONA,148
309,2,BAYANDEL,149
310,1,DELEG,149
311,3,HORNAPALA,149
312,0,SIN ZONA,150
313,1,EL TAMBO,151
314,2,MARIA AUXILIADORA,151
315,3,PILCOPATA,151
316,3,COCHANCAY,152
317,5,JAIME ROLDOS,152
318,6,JULIO MARIA MATOVELLE,152
319,1,LA TRONCAL,152
320,4,ROBERTO ISAIAS,152
