id,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,cand_9,cand_10,cand_11,cand_12,cand_13,cand_14,cand_15,cand_16,total_suf,blanco,nulo,juntaId
28474,45,8,7,1,0,75,18,1,37,0,0,59,2,2,0,3,280,3,18,34619
28484,27,6,1,9,1,90,19,2,38,1,1,57,1,2,3,1,285,9,17,34620
28493,27,2,6,5,1,88,18,2,42,0,1,59,3,5,0,2,291,6,24,34621
28501,38,4,4,7,1,88,15,3,38,1,0,73,2,3,0,0,297,3,15,34622
28511,39,13,3,0,0,69,19,2,40,0,2,66,0,3,0,4,289,3,26,34623
28521,38,5,3,6,0,66,12,3,29,1,0,92,2,1,1,4,288,2,23,34624
28531,39,7,2,1,1,85,11,2,38,0,0,78,1,4,0,3,294,4,18,34625
28540,47,4,4,7,0,71,4,1,36,0,1,52,2,3,1,3,264,2,26,34626
28549,25,7,0,3,0,76,21,2,26,1,0,74,1,2,1,2,268,7,20,34627
28559,43,4,5,8,1,63,13,1,34,0,0,64,1,1,0,0,273,5,30,34628
28567,28,5,3,1,0,85,16,3,35,1,1,63,1,2,0,4,272,4,20,34629
28575,43,6,5,6,2,75,12,6,31,0,0,77,5,2,1,3,290,1,15,34630
28584,33,6,4,3,0,82,19,4,36,0,0,55,1,3,0,2,284,5,31,34631
28593,48,3,3,7,0,79,14,3,23,0,1,73,0,5,0,2,289,5,23,34632
28602,30,7,6,1,0,66,12,3,49,0,0,65,1,2,0,0,268,3,23,34633
27963,87,3,16,4,0,37,4,1,38,0,2,73,3,2,0,6,313,7,30,38597
27972,89,0,8,8,2,34,2,2,46,1,1,56,0,3,1,10,303,15,25,38598
27982,81,2,9,1,1,58,4,2,24,0,0,59,1,4,1,4,286,4,31,38599
27990,82,0,10,8,0,27,5,0,34,0,0,73,1,7,1,7,283,8,20,38600
27999,116,2,16,6,1,32,3,3,30,2,2,40,3,11,0,6,321,21,27,38601
28009,76,1,12,13,0,37,2,1,35,0,1,67,0,0,0,5,284,6,28,38602
28019,118,1,6,3,1,39,2,1,31,0,0,48,2,5,0,7,314,14,36,38603
28028,82,5,17,7,0,43,4,1,25,0,0,62,3,2,2,17,303,8,23,38604
28038,79,1,18,3,1,38,5,1,26,0,0,72,2,2,0,4,295,6,37,38605
28048,114,6,11,13,5,31,2,1,32,1,1,48,1,5,1,6,313,10,25,38606
28058,87,0,5,3,1,43,5,3,33,0,1,69,2,1,0,6,301,11,31,38607
28067,85,1,8,12,0,39,4,1,30,1,0,65,1,3,1,7,282,2,22,38608
28074,101,0,18,1,1,41,2,3,26,0,0,61,2,2,0,9,303,5,31,38609
28083,76,1,16,12,0,32,5,0,38,0,0,60,1,4,0,9,281,2,25,38610
28093,89,1,19,1,2,52,2,2,30,1,0,56,1,9,0,9,300,0,26,38611
28103,83,1,11,9,1,36,0,1,26,1,0,52,1,4,0,1,264,8,29,38612
28113,84,2,14,1,2,40,7,1,34,1,0,68,4,0,1,7,301,6,29,38613
28123,80,2,9,8,1,34,5,2,25,0,1,59,5,4,0,8,284,11,30,38614
28133,74,2,7,4,1,57,2,0,38,1,2,54,2,5,0,5,306,6,46,38615
28142,98,0,10,7,1,30,2,2,35,0,1,44,1,2,0,9,281,6,33,38616
28151,75,0,16,0,0,51,4,0,33,1,0,55,4,2,1,7,290,8,33,38617
